job_id,job_title,company,city,state,job_type,date_posted,salary_min,salary_max,role_category,experience_min,experience_max,seniority,sql,python,power_bi,tableau,excel,r_lang,dax,etl,statistics,git,looker,spark,snowflake,azure,aws,gcp,tensorflow,pytorch,kafka,airflow,dbt,docker,nosql,hadoop,sas,scala,ml
IND_01644,ML Ops Specialist,Flipkart,Mumbai,Maharashtra,Contractual,2026-03-06,2775000,3197563,ML Engineer,3,5,Mid,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1
IND_02704,Data Scientist - Risk,JP Morgan,Bangalore,Karnataka,Permanent,2026-05-29,,,Data Scientist,3,5,Mid,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
IND_04005,Operations Data Analyst,HCL Technologies,Mumbai,Maharashtra,Full-time,2026-05-20,,,Data Analyst,5,8,Mid,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
IND_07803,Data Analyst - Supply Chain,NIIT Technologies,Hyderabad,Telangana,Full-time,2026-06-21,525000,669277,Data Analyst,1,4,Junior,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IND_00948,MLOps Engineer,Accenture AI,Bangalore,Karnataka,Full-time,2026-04-20,,,ML Engineer,9,12,Senior,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1
IND_09223,Data Scientist,Lenskart,Mumbai,Maharashtra,Full-time,2026-05-01,1975000,3033415,Data Scientist,4,7,Mid,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
IND_00568,Multimodal AI Engineer,Ola,Gurugram,Haryana,Full-time,2026-03-28,1500000,2109350,ML Engineer,1,2,Junior,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
IND_02804,DataOps Engineer,Snowflake Inc,Bangalore,Karnataka,Full-time,2026-05-03,,,Data Engineer,9,10,Senior,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_06775,Data Insights Analyst,Wipro,Bangalore,Karnataka,Full-time,2026-03-07,675000,1017594,Data Analyst,1,3,Junior,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_08165,Data Scientist - Recommendations,Dr Reddy's,Mumbai,Maharashtra,Full-time,2026-06-09,950000,1473588,Data Scientist,2,5,Junior,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
IND_02550,Principal Data Scientist,AstraZeneca,Mumbai,Maharashtra,Permanent,2026-05-21,1725000,2384358,Data Scientist,5,6,Mid,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
IND_07541,Data Scientist - AdTech,Walmart Labs,Bangalore,Karnataka,Full-time,2026-03-15,,,Data Scientist,1,4,Junior,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
IND_04087,Data Pipeline Engineer,Myntra,Pune,Maharashtra,Full-time,2026-04-10,,,Data Engineer,4,7,Mid,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
IND_03771,Staff Data Engineer,Groww,Mumbai,Maharashtra,Full-time,2026-04-04,500000,700233,Data Engineer,0,1,Fresher,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
IND_03390,Qlik Developer,UBS,Gurugram,Haryana,Full-time,2026-03-17,,,BI Developer,9,12,Senior,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_07608,Senior ML Engineer,BharatPe,Bangalore,Karnataka,Permanent,2026-04-19,925000,1286886,ML Engineer,1,4,Junior,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1
IND_01186,Fraud Analytics Analyst,Zensar,Mumbai,Maharashtra,Contractual,2026-06-20,,,Data Analyst,4,6,Mid,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IND_06832,Data & Reporting Analyst,EY,Hyderabad,Telangana,Full-time,2026-04-01,675000,1016031,Data Analyst,2,4,Junior,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
IND_01349,Staff Data Engineer,Goldman Sachs,Hyderabad,Telangana,Full-time,2026-05-29,,,Data Engineer,4,6,Mid,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
IND_00190,Applied Scientist,Cognizant,Bangalore,Karnataka,Permanent,2026-04-04,,,Data Scientist,4,5,Mid,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
IND_07789,Senior Data Engineer,HSBC,Chennai,Tamil Nadu,Temporary,2026-05-15,2200000,2895063,Data Engineer,8,11,Senior,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
IND_04654,Data Visualization Developer,Wipro,Chennai,Tamil Nadu,Full-time,2026-04-04,,,BI Developer,5,8,Mid,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IND_01739,Quantitative Analyst,Meesho,Hyderabad,Telangana,Full-time,2026-05-30,,,Data Scientist,8,9,Senior,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
IND_05663,Data Scientist - Search,LatentView Analytics,Bangalore,Karnataka,Permanent,2026-06-22,,,Data Scientist,0,3,Fresher,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
IND_02351,Behavioural Data Scientist,Zomato,Bangalore,Karnataka,Permanent,2026-06-23,,,Data Scientist,0,2,Fresher,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
IND_00592,Data Scientist - Pricing,Grab,Chennai,Tamil Nadu,Full-time,2026-04-15,,,Data Scientist,7,9,Senior,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
IND_00997,Data Scientist - Search,EY Parthenon,Pune,Maharashtra,Part-time,2026-03-28,,,Data Scientist,8,9,Senior,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
IND_07049,Applied Scientist,Sigmoid,Chennai,Tamil Nadu,Full-time,2026-05-30,,,Data Scientist,1,3,Junior,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
IND_09526,Kafka Engineer,HCL Technologies,Chennai,Tamil Nadu,Contractual,2026-04-20,,,Data Engineer,0,3,Fresher,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
IND_07361,Computer Vision Engineer,Mad Street Den,Bangalore,Karnataka,Full-time,2026-03-08,,,ML Engineer,1,4,Junior,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1
IND_04017,Data Architect,Airtel,Bangalore,Karnataka,Full-time,2026-04-12,,,Data Engineer,2,3,Junior,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
IND_07569,Analytics Engineer - BI,EXL Service,Pune,Maharashtra,Full-time,2026-05-23,,,BI Developer,0,1,Fresher,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_04865,Multimodal AI Engineer,NVIDIA,Mumbai,Maharashtra,Full-time,2026-04-12,,,ML Engineer,9,11,Senior,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1
IND_02724,Analyst - Data Analytics,Tech Mahindra,Bangalore,Karnataka,Full-time,2026-06-11,1550000,2112453,Data Analyst,11,13,Senior,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
IND_05576,ML Ops Specialist,Apple,Mumbai,Maharashtra,Full-time,2026-05-10,,,ML Engineer,4,6,Mid,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1
IND_07512,Data Architect,Zomato,Bangalore,Karnataka,Full-time,2026-03-18,825000,1091327,Data Engineer,1,4,Junior,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
IND_06432,Research Engineer,Bosch,Hyderabad,Telangana,Full-time,2026-03-10,,,ML Engineer,3,5,Mid,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
IND_09777,Applied Scientist,HCL,Gurugram,Haryana,Full-time,2026-04-10,2025000,2780617,Data Scientist,5,8,Mid,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
IND_04049,Principal Data Engineer,Snapdeal,Bangalore,Karnataka,Full-time,2026-04-10,,,Data Engineer,4,7,Mid,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
IND_03994,People Analytics Analyst,SAP,Mumbai,Maharashtra,Full-time,2026-06-16,1350000,1622523,Data Analyst,5,8,Mid,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
IND_01101,Dashboard Developer,EY,Chennai,Tamil Nadu,Full-time,2026-05-01,,,BI Developer,1,2,Junior,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_07286,Product Data Analyst,Flipkart,Chennai,Tamil Nadu,Full-time,2026-04-07,,,Data Analyst,1,2,Junior,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IND_09679,dbt Analytics Engineer,Bounce,Hyderabad,Telangana,Full-time,2026-05-31,,,Data Engineer,8,11,Senior,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
IND_04314,Associate Data Scientist,Swiggy,Chennai,Tamil Nadu,Full-time,2026-04-16,,,Data Scientist,3,6,Mid,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
IND_04984,Data Analyst - Supply Chain,Fractal Analytics,Hyderabad,Telangana,Permanent,2026-06-16,700000,846442,Data Analyst,2,3,Junior,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
IND_03555,Data Pipeline Engineer,Amazon,Pune,Maharashtra,Full-time,2026-06-18,,,Data Engineer,5,8,Mid,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
IND_02171,Lead Data Engineer,ARM,Pune,Maharashtra,Full-time,2026-04-05,,,Data Engineer,3,6,Mid,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
IND_00458,Data Science Manager,Sigmoid,Pune,Maharashtra,Full-time,2026-06-20,,,Data Scientist,,,,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
IND_02947,dbt Analytics Engineer,Databricks,Gurugram,Haryana,Full-time,2026-04-29,,,Data Engineer,1,4,Junior,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
IND_04207,AI/ML Engineer,Senseforth,Hyderabad,Telangana,Permanent,2026-03-15,,,ML Engineer,1,3,Junior,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
IND_02757,Junior Data Scientist,Persistent,Chennai,Tamil Nadu,Full-time,2026-06-20,4450000,5155590,Data Scientist,6,9,Senior,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
IND_06695,Power BI Analyst,Cognizant,Bangalore,Karnataka,Full-time,2026-02-25,,,BI Developer,,,,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
IND_09200,Data Analyst - E-Commerce,Grant Thornton,Hyderabad,Telangana,Full-time,2026-03-13,,,Data Analyst,,,,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND_01568,Forecasting Scientist,ShopClues,Gurugram,Haryana,Full-time,2026-04-17,1675000,2494667,Data Scientist,3,5,Mid,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IND_07609,Staff Data Engineer,DataWeave,Bangalore,Karnataka,Full-time,2026-05-20,,,Data Engineer,3,5,Mid,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
IND_07834,Customer Analytics Analyst,Boston Consulting Group,Pune,Maharashtra,Part-time,2026-05-09,,,Data Analyst,11,14,Senior,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
IND_01737,Spark Engineer,Hexaware,Bangalore,Karnataka,Full-time,2026-04-23,,,Data Engineer,2,5,Junior,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1
IND_08861,Senior Data Engineer,Confluent,Chennai,Tamil Nadu,Full-time,2026-06-20,,,Data Engineer,8,11,Senior,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
IND_02440,BI Developer,Fractal Analytics,Chennai,Tamil Nadu,Contractual,2026-03-21,,,BI Developer,1,4,Junior,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IND_04711,Staff Data Scientist,Salesforce,Bangalore,Karnataka,Full-time,2026-05-24,1750000,2720998,Data Scientist,5,6,Mid,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
