job_id,job_title,company,city,state,job_type,date_posted,salary_min,salary_max,role_category,experience_min,experience_max,seniority,sql,python,power_bi,tableau,excel,r_lang,dax,etl,statistics,git,looker,spark,snowflake,azure,aws,gcp,tensorflow,pytorch,kafka,airflow,dbt,docker,nosql,hadoop,sas,scala,ml,salary_disclosed,experience_disclosed,salary_avg,experience_avg,total_skills_required,post_month
IND_01644,ML Ops Specialist,Flipkart,Mumbai,Maharashtra,Contractual,2026-03-06,2775000.0,3197563.0,ML Engineer,3.0,5.0,Mid,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,True,True,2986281.5,4.0,12,2026-03
IND_02704,Data Scientist - Risk,JP Morgan,Bangalore,Karnataka,Permanent,2026-05-29,,,Data Scientist,3.0,5.0,Mid,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,False,True,,4.0,8,2026-05
IND_04005,Operations Data Analyst,HCL Technologies,Mumbai,Maharashtra,Full-time,2026-05-20,,,Data Analyst,5.0,8.0,Mid,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False,True,,6.5,8,2026-05
IND_07803,Data Analyst - Supply Chain,NIIT Technologies,Hyderabad,Telangana,Full-time,2026-06-21,525000.0,669277.0,Data Analyst,1.0,4.0,Junior,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,True,597138.5,2.5,8,2026-06
IND_00948,MLOps Engineer,Accenture AI,Bangalore,Karnataka,Full-time,2026-04-20,,,ML Engineer,9.0,12.0,Senior,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,False,True,,10.5,9,2026-04
IND_09223,Data Scientist,Lenskart,Mumbai,Maharashtra,Full-time,2026-05-01,1975000.0,3033415.0,Data Scientist,4.0,7.0,Mid,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,True,True,2504207.5,5.5,7,2026-05
IND_00568,Multimodal AI Engineer,Ola,Gurugram,Haryana,Full-time,2026-03-28,1500000.0,2109350.0,ML Engineer,1.0,2.0,Junior,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,True,True,1804675.0,1.5,12,2026-03
IND_02804,DataOps Engineer,Snowflake Inc,Bangalore,Karnataka,Full-time,2026-05-03,,,Data Engineer,9.0,10.0,Senior,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,,9.5,3,2026-05
IND_06775,Data Insights Analyst,Wipro,Bangalore,Karnataka,Full-time,2026-03-07,675000.0,1017594.0,Data Analyst,1.0,3.0,Junior,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,846297.0,2.0,6,2026-03
IND_08165,Data Scientist - Recommendations,Dr Reddy's,Mumbai,Maharashtra,Full-time,2026-06-09,950000.0,1473588.0,Data Scientist,2.0,5.0,Junior,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,True,True,1211794.0,3.5,11,2026-06
IND_02550,Principal Data Scientist,AstraZeneca,Mumbai,Maharashtra,Permanent,2026-05-21,1725000.0,2384358.0,Data Scientist,5.0,6.0,Mid,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,True,True,2054679.0,5.5,12,2026-05
